Running PageRank with data/soc-sign-Slashdot081106.txt
d=0.95, eps=1e-08
516575 edges.
readTime: 2.78s, processTime: 0.31s
After n=206 iterations:
0.00960759 : 38 0
0.00746776 : 625 1
0.00469758 : 85 2
0.00446804 : 651 3
0.00285859 : 28 4
0.00285556 : 3537 5
0.00209388 : 885 6
0.00207114 : 49 7
0.00172793 : 118 8
0.00166184 : 54 9
0.00158920 : 2329 10
0.00131075 : 1139 11
0.00125765 : 2695 12
0.00121400 : 443 13
0.00118128 : 15628 14
0.00117914 : 692 15
0.00117888 : 15629 16
0.00106453 : 417 17
0.00104003 : 943 18
0.00102905 : 728 19
0.00101676 : 1207 20
0.00097528 : 3970 21
0.00092843 : 172 22
0.00088141 : 43 23
0.00085674 : 75 24
0.00085602 : 2331 25
0.00084284 : 2281 26
0.00083710 : 346 27
0.00082343 : 1931 28
0.00079942 : 6113 29
0.00079453 : 673 30
0.00077537 : 1555 31
0.00074784 : 11052 32
0.00074121 : 9584 33
0.00073813 : 749 34
0.00073519 : 445 35
0.00070908 : 8313 36
0.00069432 : 1031 37
0.00067758 : 2365 38
0.00067553 : 3143 39
0.00066700 : 1181 40
0.00066505 : 45803 41
0.00065429 : 1658 42
0.00065166 : 9487 43
0.00062723 : 11954 44
0.00062476 : 55015 45
0.00059445 : 1421 46
0.00059356 : 4527 47
0.00058997 : 1486 48
0.00058264 : 1375 49
0.00058129 : 918 50
0.00056990 : 2795 51
0.00056394 : 4364 52
0.00054687 : 15190 53
0.00054620 : 621 54
0.00053721 : 42444 55
0.00053224 : 4685 56
0.00052885 : 815 57
0.00051766 : 746 58
0.00050951 : 3282 59
0.00050721 : 8508 60
0.00050135 : 708 61
0.00049775 : 1737 62
0.00048753 : 4928 63
0.00047929 : 729 64
0.00047767 : 1068 65
0.00047586 : 1903 66
0.00047412 : 2126 67
0.00047028 : 19761 68
0.00047022 : 184 69
0.00047001 : 965 70
0.00046858 : 4867 71
0.00046770 : 4820 72
0.00046233 : 7804 73
0.00046157 : 3173 74
0.00046155 : 9066 75
0.00046021 : 691 76
0.00045969 : 1565 77
0.00045779 : 59160 78
0.00045605 : 1744 79
0.00045215 : 105 80
0.00045140 : 3293 81
0.00044870 : 34525 82
0.00044292 : 2333 83
0.00044249 : 3694 84
0.00044033 : 3366 85
0.00043867 : 2159 86
0.00043043 : 713 87
0.00042946 : 7579 88
0.00042725 : 1619 89
0.00042596 : 2148 90
0.00041591 : 10538 91
0.00041452 : 1659 92
0.00040815 : 189 93
0.00040737 : 1368 94
0.00040626 : 823 95
0.00040134 : 2430 96
0.00039856 : 2799 97
0.00039596 : 457 98
0.00038937 : 3230 99
0.00038568 : 40209 100
0.00037890 : 2184 101
0.00037818 : 5768 102
0.00037557 : 3107 103
0.00037369 : 1882 104
0.00036959 : 12165 105
0.00036917 : 613 106
0.00035910 : 16001 107
0.00035888 : 16166 108
0.00035817 : 15633 109
0.00035642 : 10869 110
0.00035571 : 3203 111
0.00034463 : 4952 112
0.00033981 : 831 113
0.00033784 : 627 114
0.00033256 : 3568 115
0.00033188 : 2198 116
